county,location_eng, location_est,value
Polva,county of residence,elukoha maakonnas,8150
Polva,elsewhere in Estonia,mujal Eestis,764
Polva,outside Estonia,valjaspool Eestit,31
Valga,county of residence,elukoha maakonnas,9407
Valga,elsewhere in Estonia,mujal Eestis,544
Valga,outside Estonia,valjaspool Eestit,45
Viljandi,county of residence,elukoha maakonnas,16757
Viljandi,elsewhere in Estonia,mujal Eestis,817
Viljandi,outside Estonia,valjaspool Eestit,105
Voru,county of residence,elukoha maakonnas,10933
Voru,elsewhere in Estonia,mujal Eestis,421
Voru,outside Estonia,valjaspool Eestit,50